stateA,stateB,Direction,Value,A_state,A_long,A_lat,B_state,B_long,B_lat
Utah,Alaska,in-mover,1132,Utah,-111.6703,39.3055,Alaska,-152.2782,64.0685
Utah,Alaska,out-mover,606,Utah,-111.6703,39.3055,Alaska,-152.2782,64.0685
Vermont,Alaska,in-mover,124,Vermont,-72.6658,44.0687,Alaska,-152.2782,64.0685
Vermont,Alaska,out-mover,38,Vermont,-72.6658,44.0687,Alaska,-152.2782,64.0685
Virginia,Alaska,in-mover,1214,Virginia,-78.8537,37.5215,Alaska,-152.2782,64.0685
Virginia,Alaska,out-mover,843,Virginia,-78.8537,37.5215,Alaska,-152.2782,64.0685
Washington,Alaska,in-mover,4918,Washington,-120.4472,47.3826,Alaska,-152.2782,64.0685
Washington,Alaska,out-mover,3304,Washington,-120.4472,47.3826,Alaska,-152.2782,64.0685
West Virginia,Alaska,in-mover,65,West Virginia,-80.6227,38.6409,Alaska,-152.2782,64.0685
West Virginia,Alaska,out-mover,71,West Virginia,-80.6227,38.6409,Alaska,-152.2782,64.0685
Wisconsin,Alaska,in-mover,574,Wisconsin,-89.9941,44.6243,Alaska,-152.2782,64.0685
Wisconsin,Alaska,out-mover,698,Wisconsin,-89.9941,44.6243,Alaska,-152.2782,64.0685
Wyoming,Alaska,in-mover,199,Wyoming,-107.5512,42.9957,Alaska,-152.2782,64.0685
Wyoming,Alaska,out-mover,229,Wyoming,-107.5512,42.9957,Alaska,-152.2782,64.0685
Alabama,Arizona,in-mover,1444,Alabama,-86.8287,32.7794,Arizona,-111.6602,34.2744
Alabama,Arizona,out-mover,1478,Alabama,-86.8287,32.7794,Arizona,-111.6602,34.2744
Alaska,Arizona,in-mover,1003,Alaska,-152.2782,64.0685,Arizona,-111.6602,34.2744
Alaska,Arizona,out-mover,2205,Alaska,-152.2782,64.0685,Arizona,-111.6602,34.2744
Arizona,Arizona,in-mover,0,Arizona,-111.6602,34.2744,Arizona,-111.6602,34.2744
Arizona,Arizona,out-mover,0,Arizona,-111.6602,34.2744,Arizona,-111.6602,34.2744
Arkansas,Arizona,in-mover,975,Arkansas,-92.4426,34.8938,Arizona,-111.6602,34.2744
Arkansas,Arizona,out-mover,1206,Arkansas,-92.4426,34.8938,Arizona,-111.6602,34.2744
California,Arizona,in-mover,31353,California,-119.4696,37.1841,Arizona,-111.6602,34.2744
California,Arizona,out-mover,61373,California,-119.4696,37.1841,Arizona,-111.6602,34.2744
Colorado,Arizona,in-mover,9727,Colorado,-105.5478,38.9972,Arizona,-111.6602,34.2744
Colorado,Arizona,out-mover,12389,Colorado,-105.5478,38.9972,Arizona,-111.6602,34.2744
Connecticut,Arizona,in-mover,557,Connecticut,-72.7273,41.6219,Arizona,-111.6602,34.2744
Connecticut,Arizona,out-mover,1228,Connecticut,-72.7273,41.6219,Arizona,-111.6602,34.2744
